epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8922.71,0.33802,0.24009,0.81251,0.98893,0.98934,0.99255,0.95434,0.29427,0.16629,0.79373,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9204.17,0.33593,0.23914,0.81308,0.98614,0.99166,0.99227,0.95408,0.29347,0.16625,0.79352,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9482.65,0.33506,0.23733,0.81179,0.98751,0.98945,0.99215,0.95441,0.29327,0.16667,0.79346,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9761.63,0.33345,0.23315,0.81041,0.98676,0.99084,0.99237,0.95524,0.29204,0.16561,0.79306,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10040.1,0.33296,0.23323,0.81128,0.98568,0.9914,0.99215,0.95599,0.29202,0.16559,0.79299,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10319.3,0.33314,0.23115,0.81151,0.98796,0.99144,0.99251,0.9561,0.2906,0.16273,0.79269,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10601.4,0.33112,0.22883,0.80919,0.98683,0.99391,0.99278,0.95643,0.29066,0.16096,0.79256,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10884.3,0.32935,0.22806,0.80957,0.98857,0.99121,0.99255,0.95693,0.28958,0.16099,0.79249,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11165.5,0.32907,0.22671,0.80997,0.98761,0.99225,0.99272,0.95677,0.28879,0.16011,0.79207,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11441.6,0.32839,0.22653,0.8101,0.99071,0.98965,0.99299,0.95714,0.28884,0.15788,0.79204,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11717.3,0.32641,0.22373,0.80814,0.9916,0.98966,0.99312,0.95728,0.28814,0.15678,0.79178,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11996.2,0.32611,0.22312,0.80823,0.99062,0.99193,0.99298,0.9572,0.2875,0.15562,0.79178,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12272.2,0.32361,0.22179,0.80838,0.99006,0.99122,0.99288,0.95839,0.28682,0.15552,0.79148,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12547.4,0.32108,0.21639,0.80746,0.99158,0.99054,0.993,0.95855,0.28627,0.15532,0.79115,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12822.9,0.3224,0.21609,0.80806,0.98955,0.99332,0.99311,0.95888,0.28563,0.15378,0.79106,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13097.8,0.3215,0.21635,0.8068,0.98947,0.99404,0.9932,0.95859,0.28563,0.15318,0.79113,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
